"RK","TIERS","PLAYER NAME","TEAM","POS","BYE WEEK","PROJ. PTS","NOTES"
"43","5","Josh Jacobs","GB","RB18","12","95",""
"44","5","Zay Flowers","BAL","WR18","8","109.3",""
"45","5","David Montgomery","HOU","RB19","4","88.1","Safe floor, low ceiling"
"46","5","Emeka Egbuka","TB","WR19","11","102.4","Upside play, volatile week-to-week"
"47","5","Bucky Irving","TB","RB20","7","81.8",""
"48","5","DeVonta Smith","PHI","WR20","14","96",""
"49","5","Jalen Hurts","PHI","QB4","10","322.2",""
"50","5","TreVeyon Henderson","NE","RB21","6","75.9",""
"51","6","Bhayshul Tuten","JAX","RB22","13","70.4",""
"52","6","Harold Fannin","CLE","TE6","9","144.2",""
"53","6","Davante Adams","LAR","WR21","5","89.9",""
"54","6","Luther Burden","CHI","WR22","12","84.3",""
"55","6","Quinshon Judkins","CLE","RB23","8","65.3","Upside play, volatile week-to-week"
"56","6","Matthew Stafford","LAR","QB5","4","305",""
"57","6","Travis Etienne","NO","RB24","11","60.6",""
"58","6","Tucker Kraft","GB","TE7","7","129.2","Safe floor, low ceiling"
"59","6","Jameson Williams","DET","WR23","14","79",""
"60","6","DJ Moore","BUF","WR24","10","74",""
"61","7","D'Andre Swift","CHI","RB25","6","56.2",""
"62","7","Joe Burrow","CIN","QB6","13","288.6",""
"63","7","Caleb Williams","CHI","QB7","9","273.2",""
"64","7","Jaxson Dart","NYG","QB8","5","258.6","Upside play, volatile week-to-week"
"65","7","Garrett Wilson","NYJ","WR25","12","69.3",""
"66","7","Jayden Daniels","WAS","QB9","8","244.7",""
"67","7","Carnell Tate","TEN","WR26","4","65",""
"68","7","Kyle Pitts","ATL","TE8","11","115.8",""
"69","7","Jadarian Price","SEA","RB26","7","52.1",""
"70","7","Rome Odunze","CHI","WR27","14","60.9",""
"71","8","Rhamondre Stevenson","NE","RB27","10","48.4","Safe floor, low ceiling"
"72","8","Terry McLaurin","WAS","WR28","6","57.1",""
"73","8","Brian Thomas","JAX","WR29","13","53.5","Upside play, volatile week-to-week"
"74","8","Dak Prescott","DAL","QB10","9","231.6",""
"75","8","RJ Harvey","DEN","RB28","5","44.9",""
"76","8","George Kittle","SF","TE9","12","103.7",""
"77","8","Christian Watson","GB","WR30","8","50.1",""
"78","8","Blake Corum","LAR","RB29","4","41.6",""
"79","8","DK Metcalf","PIT","WR31","11","47",""
"80","8","Courtland Sutton","DEN","WR32","7","44",""
"81","9","Justin Herbert","LAC","QB11","14","219.2",""
"82","9","Kenyon Sadiq","NYJ","TE10","10","92.9","Upside play, volatile week-to-week"
"83","9","Parker Washington","JAX","WR33","6","41.2",""
"84","9","Jaylen Warren","PIT","RB30","13","38.6","Safe floor, low ceiling"
"85","9","Brandon Aubrey","DAL","K1","9","155",""
"86","9","Mike Evans","SF","WR34","5","38.6",""
"87","9","Makai Lemon","PHI","WR35","12","36.2",""
"88","9","Chuba Hubbard","CAR","RB31","8","35.8",""
"89","9","Marvin Harrison","ARI","WR36","4","33.9",""
"90","9","Tony Pollard","TEN","RB32","11","33.2",""
"91","10","Chris Godwin","TB","WR37","7","31.8","Upside play, volatile week-to-week"
"92","10","Kyle Monangai","CHI","RB33","14","30.8",""
"93","10","Josh Downs","IND","WR38","10","29.8",""
"94","10","Rico Dowdle","PIT","RB34","6","28.6",""
"95","10","Patrick Mahomes","KC","QB12","13","207.5",""
"96","10","Travis Hunter","JAX","WR39","9","27.9",""
"97","10","J.K. Dobbins","DEN","RB35","5","26.5","Safe floor, low ceiling"
"98","10","Jacory Croskey-Merritt","WAS","RB36","12","24.6",""
"99","10","Aaron Jones","MIN","RB37","8","22.8",""
"100","10","Michael Wilson","ARI","WR40","4","26.2","Upside play, volatile week-to-week"
"101","11","Alec Pierce","IND","WR41","11","24.5",""
"102","11","Dalton Kincaid","BUF","TE11","7","83.2",""
"103","11","Jared Goff","DET","QB13","14","196.4",""
"104","11","Travis Kelce","KC","TE12","10","74.5",""
"105","11","Jayden Reed","GB","WR42","6","23",""
"106","11","Jordyn Tyson","NO","WR43","13","21.5",""
"107","11","Isaiah Likely","NYG","TE13","9","66.8",""
"108","11","Michael Pittman","PIT","WR44","5","20.2",""
"109","11","Rams D/ST","LAR","DEF1","12","150","Upside play, volatile week-to-week"
"110","11","Trevor Lawrence","JAX","QB14","8","185.9","Safe floor, low ceiling"
"111","12","Jake Ferguson","DAL","TE14","4","59.8",""
"112","12","Jakobi Meyers","JAX","WR45","11","18.9",""
"113","12","Kenny Gainwell","TB","RB38","7","21.2",""
"114","12","Jordan Addison","MIN","WR46","14","17.7",""
"115","12","Jordan Mason","MIN","RB39","10","19.7",""
"116","12","T.J. Hockenson","MIN","TE15","6","53.6",""
"117","12","Quentin Johnston","LAC","WR47","13","16.6",""
"118","12","Texans D/ST","HOU","DEF2","9","145.6","Upside play, volatile week-to-week"
"119","12","Bo Nix","DEN","QB15","5","175.9",""
"120","12","Oronde Gadsden","LAC","TE16","12","48",""
"121","13","Rachaad White","WAS","RB40","8","18.2",""
"122","13","Stefon Diggs","WAS","WR48","4","15.6",""
"123","13","Jonathon Brooks","CAR","RB41","11","16.9","Safe floor, low ceiling"
"124","13","Wan'Dale Robinson","TEN","WR49","7","14.6",""
"125","13","Woody Marks","HOU","RB42","14","15.7",""
"126","13","Deebo Samuel","SF","WR50","10","13.7",""
"127","13","KC Concepcion","CLE","WR51","6","12.8","Upside play, volatile week-to-week"
"128","13","Khalil Shakir","BUF","WR52","13","12",""
"129","13","Alvin Kamara","NO","RB43","9","14.6",""
"130","13","Zach Charbonnet","SEA","RB44","5","13.5",""
"131","14","Cameron Dicker","LAC","K2","12","150.4",""
"132","14","Brock Purdy","SF","QB16","8","166.5",""
"133","14","Jason Myers","SEA","K3","4","146",""
"134","14","De'Zhaun Stribling","SF","WR53","11","11.2",""
"135","14","Seahawks DST","SEA","DEF3","7","141.3",""
"136","14","Braelon Allen","NYJ","RB45","14","12.5","Upside play, volatile week-to-week"
"137","14","Dallas Goedert","PHI","TE17","10","43",""
"138","14","Ka'imi Fairbairn","HOU","K4","6","141.7",""
"139","14","Broncos D/ST","DEN","DEF4","13","137.1",""
"140","14","Philadelphia Eagles","PHI","DEF5","9","133",""
"141","14","Cam Little","JAX","K5","5","137.5",""
"142","14","Harrison Mevis","LAR","K6","12","133.4",""
"143","14","Denzel Boston","CLE","WR54","8","10.5",""
"144","14","Will Reichard","MIN","K7","4","129.5",""
"145","14","Ravens D/ST","BAL","DEF6","11","129.1","Upside play, volatile week-to-week"
"146","14","Jake Bates","DET","K8","7","125.6",""
"147","14","Kyler Murray","MIN","QB17","14","157.6",""
"148","14","Lions D/ST","DET","DEF7","10","125.3",""
"149","14","Chase McLaughlin","TB","K9","6","121.9","Safe floor, low ceiling"
"150","14","Chargers DST","LAC","DEF8","13","121.6",""
"151","14","Todd Gurley","","RB46","9","11.6",""
"152","14","Bryce Ford-Wheaton","","WR55","5","9.9",""
"153","14","Jordan Love","GB","QB18","12","149.2",""
"154","14","Baker Mayfield","TB","QB19","8","141.2","Upside play, volatile week-to-week"
"155","14","Tom Brady","","QB20","4","133.6",""
"156","14","Drew Brees","","QB21","11","126.5",""
"157","14","Brian Robinson","ATL","RB47","7","10.8",""
"158","14","Tyler Shough","NO","QB22","14","119.7",""
"159","14","Fernando Mendoza","LV","QB23","10","113.3",""
"160","14","Antonio Brown","","WR56","6","9.2",""
"161","14","Tyler Allgeier","ARI","RB48","13","10",""
"162","14","Sam Darnold","SEA","QB24","9","107.3","Safe floor, low ceiling"
"163","14","Julian Edelman","","WR57","5","8.7","Upside play, volatile week-to-week"
"164","14","Hunter Henry","NE","TE18","12","38.5",""
"165","14","James Conner","ARI","RB49","8","9.3",""
"166","14","Mark Andrews","BAL","TE19","4","34.5",""
"167","14","Cam Ward","TEN","QB25","11","101.5",""
"168","14","Dalton Schultz","HOU","TE20","7","30.9",""
"169","14","CJ Stroud","HOU","QB26","14","96.1",""
"170","14","Juwan Johnson","NO","TE21","10","27.7",""
"171","14","Gus Edwards","","RB50","6","8.6",""
"172","14","Thomas Odukoya","","TE22","13","24.8","Upside play, volatile week-to-week"
"173","14","Brenton Strange","JAX","TE23","9","22.2",""
"174","14","Tyrone Tracy","NYG","RB51","5","8",""
"175","14","Ezekiel Elliott","","RB52","12","7.4","Safe floor, low ceiling"
"176","14","Emmett Johnson","KC","RB53","8","6.9",""
"177","14","Trey Benson","ARI","RB54","4","6.4",""
"178","14","Malik Willis","MIA","QB27","11","90.9",""
"179","14","Romeo Doubs","NE","WR58","7","8.1",""
"180","14","Rob Gronkowski","","TE24","14","19.9",""
"181","14","Jonah Coleman","DEN","RB55","10","5.9","Upside play, volatile week-to-week"
"182","14","William Fuller","","WR59","6","7.6",""
"183","14","Bryce Young","CAR","QB28","13","86.1",""
"184","14","Tyjae Spears","TEN","RB56","9","5.5",""
"185","14","Xavier Worthy","KC","WR60","5","7.1",""
"186","14","Matthew Golden","GB","WR61","12","6.7",""
"187","14","Jauan Jennings","MIN","WR62","8","6.3",""
"188","14","Henry Ruggs","","WR63","4","5.9","Safe floor, low ceiling"
"189","14","Damien Harris","","RB57","11","5.1",""
"190","14","AJ Barner","SEA","TE25","7","17.8","Upside play, volatile week-to-week"
"191","14","Jayden Higgins","HOU","WR64","14","5.5",""
"192","14","Bryce Love","","RB58","10","4.7",""
"193","14","Chris Rodriguez","JAX","RB59","6","4.4",""
"194","14","Daniel Jones","IND","QB29","13","81.5",""
"195","14","Dylan Sampson","CLE","RB60","9","4.1",""
"196","14","Tyler Lockett","","WR65","5","5.2",""
"197","14","David Njoku","LAC","TE26","12","16",""
"198","14","Jalen Coker","CAR","WR66","8","4.8",""
"199","14","Colby Parkinson","LAR","TE27","4","14.3","Upside play, volatile week-to-week"
"200","14","Chig Okonkwo","WAS","TE28","11","12.8",""
"201","14","Mason Taylor","NYJ","TE29","7","11.5","Safe floor, low ceiling"
"202","14","Mike Washington","LV","RB61","14","3.8",""
"203","14","Eli Stowers","PHI","TE30","10","10.3",""
"204","14","Kimani Vidal","LAC","RB62","6","3.5",""
"205","14","Terrance Ferguson","LAR","TE31","13","9.2",""
"206","14","Theo Johnson","NYG","TE32","9","8.3",""
"207","14","Tyreek Hill","","WR67","5","4.5",""
"208","14","Rashid Shaheed","SEA","WR68","12","4.2","Upside play, volatile week-to-week"
"209","14","Tank Bigsby","PHI","RB63","8","3.3",""
"210","14","Cade Otton","TB","TE33","4","7.4",""
